id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
7100970,Modern 3 bedroom town house in Dublin city centre,16879163,Lauraine,Dublin City Council,North Inner City LEA-7,53.35557,-6.24566,Entire home/apt,1000,2,47,2024-09-02,1.4,1,76,34
7107269,From city center 10min by walk.,598636849,Sukhbat,Dublin City Council,North Inner City LEA-7,53.34796,-6.27291,Private room,105,1,1,2024-09-04,1,1,14,1
7111247,"Fully refurb 2bed apt, grd floor",465665833,Diogo,Dublin City Council,North Inner City LEA-7,53.35366,-6.28431,Entire home/apt,180,1,75,2024-09-04,7.05,25,118,75
7114088,Two-storey redbrick in trendy Dublin neighbourhood,57360046,Peter,Dublin City Council,North Inner City LEA-7,53.35129,-6.28748,Entire home/apt,170,14,50,2024-04-30,1.83,1,197,7
7115021,Fully refurb 2 bed apt 2nd floor,465665833,Diogo,Dublin City Council,North Inner City LEA-7,53.3535,-6.28399,Entire home/apt,160,1,69,2024-09-06,6.61,25,114,69
7125450,Cozy Room in the City Center - Walking distance,37607357,David Eduardo,Dublin City Council,North Inner City LEA-7,53.3462,-6.26638,Private room,86,3,115,2024-09-04,4.15,3,28,40
7127568,Great Apartment in Hip Smithfield,159476229,Karen,Dublin City Council,North Inner City LEA-7,53.34846,-6.27994,Entire home/apt,258,3,183,2024-08-25,2.26,1,246,48
7132062,Charming Room in City Centre,544255041,Mehmet,Dublin City Council,North Inner City LEA-7,53.35271488,-6.264456064,Private room,106,2,35,2024-09-01,3.52,1,70,35
7145878,Prvt room at Grangegorman Lower,22254869,Juan,Dublin City Council,North Inner City LEA-7,53.35052034,-6.278577206,Entire home/apt,86,7,1,2024-06-21,0.36,12,128,1
7146899,Elegant Urban Living,592958941,Chika,Dublin City Council,North Inner City LEA-7,53.35066162,-6.255762834,Private room,92,1,11,2024-09-09,10,2,331,11
7158418,Stylish Accommodation at Dublin,22254869,Juan,Dublin City Council,North Inner City LEA-7,53.35046,-6.27877,Entire home/apt,86,7,5,2024-07-06,1.03,12,121,5
